"key","opponent","week","event_type","probability","proj","actual","name.team","owner.team","pic.team","name.oppo","owner.oppo","pic.oppo","home","away","matchup","matchupnum","dtg"
"399.l.831392.t.1","399.l.831392.t.7",5,"preevent",0.36,151.1,"0.00","3Li Manning","Steve","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44c0ab7fa14966400bc703ea8de4c5494f3a48edfa616b43cfb87264142297aa.jpg","SheLikesMenards","Logan","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/23204491987_db49fd.jpg",1,7,58,"3","2020-09-13 11:57:11"
"399.l.831392.t.7","399.l.831392.t.1",5,"preevent",0.64,171.99,"0.00","SheLikesMenards","Logan","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/23204491987_db49fd.jpg","3Li Manning","Steve","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44c0ab7fa14966400bc703ea8de4c5494f3a48edfa616b43cfb87264142297aa.jpg",7,1,58,"3","2020-09-13 11:57:11"
"399.l.831392.t.9","399.l.831392.t.11",5,"preevent",0.58,184.02,"0.00","Super Spreaders","Jarod","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43740098334_b47a16.jpg","Papa Ran","Randy","https://secure.gravatar.com/avatar/6ea16527c8ba0e25dae6e966c7ff7775?d=https%3A%2F%2Fs.yimg.com%2Fdh%2Fap%2Ffantasy%2Fimg%2Fprofile_96.png&s=96&r=r",9,11,222,"4","2020-09-13 11:57:11"
"399.l.831392.t.11","399.l.831392.t.9",5,"preevent",0.42,171.68,"0.00","Papa Ran","Randy","https://secure.gravatar.com/avatar/6ea16527c8ba0e25dae6e966c7ff7775?d=https%3A%2F%2Fs.yimg.com%2Fdh%2Fap%2Ffantasy%2Fimg%2Fprofile_96.png&s=96&r=r","Super Spreaders","Jarod","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43740098334_b47a16.jpg",11,9,222,"4","2020-09-13 11:57:11"
"399.l.831392.t.8","399.l.831392.t.12",5,"preevent",0.5,188.67,"0.00","ScandanavianHogs","jimmy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29574240379_dbc881.jpg","Pete's Meats","Pete","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43743942174_aa150d.jpg",8,12,228,"5","2020-09-13 11:57:11"
"399.l.831392.t.12","399.l.831392.t.8",5,"preevent",0.5,189.42,"0.00","Pete's Meats","Pete","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/43743942174_aa150d.jpg","ScandanavianHogs","jimmy","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29574240379_dbc881.jpg",12,8,228,"5","2020-09-13 11:57:11"
"399.l.831392.t.10","399.l.831392.t.13",5,"preevent",0.4,177.84,"0.00","Off In Church","Thomas R","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24693329483_a47264f392.jpg","Corona incubators","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg",10,13,292,"6","2020-09-13 11:57:11"
"399.l.831392.t.13","399.l.831392.t.10",5,"preevent",0.6,195.19,"0.00","Corona incubators","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg","Off In Church","Thomas R","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24693329483_a47264f392.jpg",13,10,292,"6","2020-09-13 11:57:11"
"399.l.831392.t.3","399.l.831392.t.5",6,"preevent",0.52,170.76,"0.00","Fútbol Americano","Richard","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29119912835_5e2e3ece8e.jpg","Faux Logan","Faux","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_f.png",3,5,42,"1","2020-09-13 11:57:11"
"399.l.831392.t.5","399.l.831392.t.3",6,"preevent",0.48,167.71,"0.00","Faux Logan","Faux","https://s.yimg.com/cv/apiv2/default/nfl/nfl_7_f.png","Fútbol Americano","Richard","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29119912835_5e2e3ece8e.jpg",5,3,42,"1","2020-09-13 11:57:11"
