"key","opponent","week","event_type","probability","proj","actual","name.team","owner.team","pic.team","name.oppo","owner.oppo","pic.oppo"
"399.l.605636.t.5","399.l.605636.t.1",4,"preevent",0.43,136.24,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Redemption Boners","Marc","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24955837179_9ea67a7ec1.jpg"
"399.l.605636.t.5","399.l.605636.t.2",5,"preevent",0.37,123.84,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Admiral Ackbars","Joseph","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/29232944137_89c392.jpg"
"399.l.605636.t.5","399.l.605636.t.3",6,"preevent",0.28,103.49,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Alabama Slammer","john","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24966926549_e39885c544.jpg"
"399.l.605636.t.5","399.l.605636.t.4",7,"preevent",0.64,136.67,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Florida Man","Joshua","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png"
"399.l.605636.t.5","399.l.605636.t.12",8,"preevent",0.32,125.45,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","The Devils Rejects","Damien","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/24975873119_7c41d8c039.jpg"
"399.l.605636.t.5","399.l.605636.t.6",9,"preevent",0.34,119.1,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Curve Flatteners","Wayne","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/6345bed68e022eae643b4402863890d13da2eaaf6f495c9c6b5c038545747e8b.jpg"
"399.l.605636.t.5","399.l.605636.t.7",10,"preevent",0.3,107.47,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","taking a 'rona","Jp","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/44285213562_ce51b8.jpg"
"399.l.605636.t.5","399.l.605636.t.8",11,"preevent",0.57,114.74,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Papa Peeps","Josh","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/57361934414_8cbe97.jpg"
"399.l.605636.t.5","399.l.605636.t.9",12,"preevent",0.44,136.87,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Pickle Ricks","Sean","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/25947095919_4de969.jpg"
"399.l.605636.t.5","399.l.605636.t.10",13,"preevent",0.39,127.41,"0.00","Boners of Freedom","Samuel","https://s.yimg.com/cv/apiv2/default/nfl/nfl_4.png","Corona Boners","Blaine","https://yahoofantasysports-res.cloudinary.com/image/upload/t_s192sq/fantasy-logos/56482426281_cb3742.jpg"
